ad_budget,num_leads,leads_answered,leads_not_answered,followup_1,followup_2,followup_3,followup_4,followup_5,not_closed,closed,calls_to_closed,calls_to_not_closed,customer_acquisition_cost,ltv_months,purchased,upsell,cumulative_profit,referred
2500,36,24,12,19,14,11,10,7,5,2,2,4,1250,38.0,1,0,20777.0,No
15000,98,55,43,43,32,26,25,18,14,4,5,3,3750,10.0,1,0,3531.0,Yes
6000,60,35,25,27,19,16,15,11,7,4,5,3,1500,12.0,1,0,3967.0,No
4000,48,32,16,25,18,15,13,9,4,5,3,3,800,28.0,1,0,15048.0,Yes
1500,25,14,11,10,8,6,6,4,4,0,0,4,0,3.0,0,0,0.0,No
1500,26,16,10,12,9,7,7,5,4,1,5,4,1500,13.0,1,1,6011.0,No
800,17,9,8,7,5,4,4,3,2,1,6,4,800,7.0,1,0,1820.0,No
10000,79,50,29,42,31,25,22,17,13,4,5,4,2500,13.0,1,1,7607.0,No
4000,45,29,16,26,20,17,15,11,7,4,2,5,1000,32.0,1,1,22872.0,No
5000,50,35,15,27,20,18,16,11,5,6,2,4,833,36.0,1,0,16447.0,No
500,13,6,7,5,3,3,2,1,0,1,5,0,500,9.0,1,0,2645.0,No
15000,92,46,46,37,27,23,21,15,9,6,5,5,2500,13.0,1,0,5303.0,No
8000,68,41,27,33,24,19,17,13,9,4,5,4,2000,14.0,1,0,4995.0,No
1500,25,14,11,10,8,6,6,4,3,1,7,3,1500,7.0,1,0,1585.0,No
1500,25,15,10,11,8,7,6,4,2,2,7,5,750,7.0,1,0,1915.0,No
1500,25,14,11,11,8,6,6,4,2,2,6,4,750,6.0,1,0,1472.0,No
2000,30,15,15,11,9,7,6,4,2,2,2,5,1000,34.0,1,1,25904.0,Yes
3000,40,27,13,21,15,13,11,8,4,4,2,6,750,38.0,1,1,26244.0,Yes
2500,36,24,12,19,14,11,10,7,5,2,2,5,1250,34.0,1,1,26025.0,Yes
2000,29,17,12,13,9,7,7,5,3,2,2,6,1000,42.0,0,0,0.0,No
4000,43,30,13,24,18,14,12,9,5,4,3,4,1000,26.0,1,0,13059.0,No
1500,24,14,10,11,8,6,6,4,4,0,0,4,0,,0,0,0.0,No
2000,29,16,13,13,10,8,7,5,3,2,2,5,1000,35.0,1,1,26241.0,Yes
2500,34,22,12,17,13,10,9,7,4,3,3,3,833,29.0,1,1,21584.0,Yes
3000,37,23,14,18,13,10,9,7,4,3,2,6,1000,41.0,0,0,0.0,No
7000,59,38,21,28,21,16,15,10,7,3,5,5,2333,6.0,1,0,2124.0,No
1500,25,15,10,12,9,8,7,5,3,2,6,4,750,8.0,1,0,2170.0,No
3000,39,26,13,21,15,13,12,8,4,4,1,5,750,37.0,1,0,20762.0,No
4000,48,32,16,24,17,14,12,9,5,4,2,5,1000,39.0,1,0,19599.0,No
800,17,9,8,7,5,4,3,2,1,1,6,3,800,6.0,1,0,1576.0,No
4000,45,31,14,24,18,14,12,9,5,4,2,3,1000,36.0,1,1,28448.0,Yes
1500,24,14,10,11,8,6,5,4,3,1,7,4,1500,7.0,1,0,2202.0,No
800,17,7,10,5,4,3,2,2,2,0,0,4,0,1.0,0,0,0.0,No
12000,85,49,36,37,26,21,20,14,10,4,4,5,3000,21.0,1,1,12923.0,Yes
15000,106,54,52,43,31,27,24,16,12,4,5,4,3750,12.0,1,0,4755.0,No
7000,57,32,25,25,18,15,12,9,6,3,4,3,2333,15.0,1,0,,No
2000,29,16,13,12,10,8,7,5,2,3,2,3,666,41.0,1,1,29719.0,Yes
1000,20,9,11,7,5,5,4,3,2,1,7,5,1000,10.0,1,0,2624.0,No
5000,53,35,18,27,20,15,13,9,5,4,3,2,1250,29.0,1,1,20229.0,Yes
3000,45,28,17,21,16,13,11,9,4,5,2,3,600,31.0,1,1,23147.0,Yes
1000,20,10,10,7,5,4,4,3,1,2,6,4,500,8.0,1,0,2269.0,No
3000,36,26,10,21,15,13,11,8,4,4,2,5,750,37.0,1,1,28216.0,Yes
800,17,7,10,5,4,3,3,2,2,0,0,4,0,2.0,0,0,0.0,No
10000,71,46,25,38,29,25,22,15,11,4,6,4,2500,5.0,1,0,1893.0,No
2000,30,16,14,12,9,7,6,4,2,2,2,4,1000,36.0,1,1,26149.0,Yes
5000,50,35,15,26,21,16,15,10,7,3,3,4,1666,33.0,0,0,0.0,No
2000,32,18,14,15,10,8,7,6,3,3,2,3,666,47.0,1,1,33276.0,Yes
3000,37,25,12,20,15,13,12,8,5,3,1,5,1000,37.0,1,1,28348.0,No
4000,46,30,16,24,18,15,14,11,7,4,2,3,1000,38.0,1,1,27065.0,Yes
1500,24,15,9,12,8,6,6,4,3,1,6,4,1500,10.0,1,0,3102.0,No
15000,113,56,57,44,32,25,23,16,11,5,5,5,3000,7.0,1,0,2716.0,No
7000,63,40,23,30,24,20,18,14,9,5,5,3,1400,11.0,1,0,2833.0,No
12000,99,58,41,46,34,28,25,19,15,4,4,2,3000,16.0,1,0,5954.0,Yes
10000,84,54,30,42,31,26,24,15,10,5,5,2,2000,12.0,1,0,4795.0,No
4000,47,36,11,28,19,16,14,11,6,5,2,5,800,36.0,1,1,26751.0,No
12000,91,48,43,38,28,21,19,12,10,2,5,5,6000,12.0,0,0,0.0,No
1000,20,10,10,8,6,5,5,3,1,2,7,4,500,8.0,1,0,2039.0,No
1500,22,12,10,9,7,5,4,3,2,1,6,3,1500,7.0,1,0,1673.0,No
800,17,9,8,7,5,4,4,3,2,1,6,4,800,8.0,1,0,2446.0,No
2000,32,18,14,14,10,9,8,5,2,3,2,5,666,30.0,1,1,22412.0,No
2500,34,22,12,18,12,11,10,7,4,3,2,3,833,41.0,1,1,30395.0,Yes
2000,28,17,11,13,10,8,8,5,3,2,2,5,1000,35.0,1,1,23635.0,No
8000,70,42,28,33,24,19,17,11,7,4,5,2,2000,10.0,1,0,2917.0,No
2500,38,23,15,19,13,11,9,7,4,3,4,3,833,22.0,1,1,16308.0,Yes
2000,32,17,15,14,11,10,9,6,3,3,3,4,666,31.0,1,1,21849.0,Yes
4000,46,32,14,26,18,14,12,9,5,4,3,5,1000,27.0,1,0,15612.0,Yes
1500,27,17,10,13,9,7,6,4,2,2,6,5,750,10.0,1,0,2683.0,No
7000,63,39,24,31,23,19,17,12,8,4,5,5,1750,9.0,1,0,3519.0,No
1000,18,9,9,7,5,4,4,2,1,1,7,6,1000,5.0,1,0,1371.0,No
20000,115,57,58,46,36,28,26,18,13,5,5,4,4000,8.0,1,0,2633.0,No
7000,70,42,28,34,25,20,18,13,9,4,4,3,1750,15.0,1,1,8672.0,No
1500,25,14,11,11,7,6,5,3,2,1,5,5,1500,13.0,1,1,6099.0,No
500,13,6,7,4,3,2,2,1,1,0,0,5,0,7.0,0,0,0.0,No
7000,63,39,24,29,21,17,15,10,7,3,4,5,2333,18.0,1,0,5938.0,No
5000,59,41,18,31,23,19,17,11,6,5,2,5,1000,37.0,1,1,25201.0,Yes
6000,64,38,26,29,22,18,16,11,8,3,5,5,2000,12.0,1,0,3883.0,No
7000,73,45,28,37,28,23,20,14,9,5,5,4,1400,8.0,1,0,2641.0,No
1000,19,9,10,7,5,4,4,3,2,1,6,4,1000,9.0,1,0,2254.0,No
2500,35,22,13,18,14,13,12,9,6,3,2,5,833,34.0,1,1,23593.0,Yes
1000,18,8,10,6,4,3,3,2,1,1,4,4,1000,17.0,1,1,8214.0,No
10000,87,53,34,43,33,28,25,16,13,3,5,5,3333,9.0,1,0,2816.0,No
4000,43,28,15,23,17,14,12,10,5,5,3,4,800,27.0,1,1,21067.0,No
2000,31,18,13,14,10,8,7,5,3,2,3,5,1000,28.0,1,0,13965.0,Yes
800,16,8,8,6,4,3,3,2,1,1,6,5,800,6.0,1,0,1752.0,No
2000,29,16,13,12,9,7,7,5,2,3,2,4,666,35.0,1,1,25711.0,Yes
2000,29,18,11,14,10,8,8,6,2,4,2,3,500,30.0,1,1,21181.0,Yes
6000,57,32,25,26,21,17,15,10,8,2,5,5,3000,9.0,1,0,3134.0,No
5000,51,33,18,25,19,15,13,9,6,3,4,3,1666,21.0,1,1,15877.0,No
10000,77,56,21,45,35,27,25,20,14,6,6,3,1666,4.0,1,0,1643.0,No
3000,40,25,15,20,14,12,10,7,5,2,3,4,1500,29.0,1,0,13609.0,Yes
1000,18,8,10,6,4,3,3,2,2,0,0,1,0,5.0,0,0,0.0,No
6000,59,38,21,31,22,19,16,11,7,4,5,6,1500,11.0,1,0,3918.0,No
6000,63,33,30,26,19,15,14,10,7,3,6,4,2000,5.0,1,0,,No
4000,44,29,15,22,17,13,12,8,5,3,2,6,1333,37.0,1,1,28591.0,No
7000,62,43,19,35,27,22,19,14,9,5,5,6,1400,12.0,1,1,6203.0,No
3000,38,23,15,18,14,11,9,6,4,2,2,4,1500,45.0,1,1,31034.0,Yes
3000,41,24,17,18,14,12,10,8,5,3,3,5,1000,32.0,1,1,23025.0,Yes
2500,35,21,14,15,11,8,8,5,2,3,2,3,833,36.0,1,1,27620.0,Yes
500,12,6,6,4,3,2,2,1,1,0,0,4,0,1.0,0,0,0.0,No
1000,20,10,10,7,6,4,4,3,2,1,6,4,1000,9.0,1,0,2634.0,No
800,16,7,9,5,4,3,2,2,2,0,0,5,0,1.0,0,0,0.0,No
5000,55,38,17,31,24,20,18,13,8,5,3,5,1000,28.0,1,0,14392.0,No
2000,31,19,12,15,11,9,8,6,3,3,3,4,666,29.0,1,0,16643.0,Yes
3000,38,28,10,22,16,12,11,8,5,3,1,5,1000,41.0,1,0,20287.0,No
10000,76,46,30,36,27,20,18,13,9,4,5,5,2500,11.0,1,0,3477.0,No
2000,28,13,15,10,8,7,6,4,2,2,2,4,1000,38.0,1,1,29789.0,Yes
2500,36,23,13,18,13,11,10,7,3,4,2,7,625,35.0,1,1,23935.0,Yes
6000,63,37,26,29,22,18,16,11,7,4,4,4,1500,20.0,1,0,7506.0,Yes
2000,29,16,13,12,9,8,7,5,2,3,3,6,666,31.0,1,1,22805.0,Yes
1000,20,9,11,7,5,4,4,2,2,0,0,5,0,4.0,0,0,0.0,No
2000,26,16,10,12,9,8,7,5,2,3,3,2,666,23.0,1,1,16092.0,Yes
1500,24,15,9,11,8,6,5,4,3,1,7,5,1500,9.0,1,1,4189.0,No
12000,89,48,41,37,28,25,22,17,12,5,4,5,2400,16.0,1,0,5137.0,Yes
7000,61,40,21,32,23,19,17,11,8,3,5,4,2333,11.0,1,0,4210.0,Yes
5000,50,34,16,25,19,16,14,10,5,5,2,4,1000,34.0,1,1,26550.0,No
10000,77,47,30,39,30,25,23,17,12,5,5,4,2000,11.0,1,0,3994.0,Yes
7000,66,43,23,35,25,19,17,12,8,4,5,5,1750,12.0,1,0,3875.0,No
1500,25,14,11,10,7,6,5,4,3,1,6,4,1500,8.0,1,0,1738.0,No
